Title,Year,Content
"Data Analytics: Diversity, Distribution and Dynamics",2022,"The nature of data analytics is changing so fast that many businesses struggle to understand what tools and approaches they should consider.

Companies that fall behind are either failing to act or are focusing on the wrong issues. As a result, they are getting outdone by competitors, often digital natives, who understand how to make the most of modern methods.

Companies that succeed are doing so based on insights, agility, and the efficiency and the decision-making power that come from working with data they know they can trust.



Businesses that still rely on and try to manage the three Vs of big data ó variety, velocity, and volume ó operate from an outdated basis. What matters most now are the three Ds of data in the cloud: diversity, distribution, and dynamics.

The three Ds concern the different challenges of data, where that data comes from, and how to manage information that is changing moment to moment.


Other critical factors for achieving a modern data environment include treating artificial intelligence (AI) and machine learning (ML) as real concepts, not just theoretical ideas; and enabling data to go from anywhere to anywhere ó for example, from ML models or cloud data platforms back into operational systems in a more enriched state ó rather than following a linear path from source to analysis to dashboard.

Diverse organizations must grapple with the fact that data now comes in a wider variety of forms, including transactional records, research and development results, inventory reports, financial statements, customer care interactions, marketing efforts, social media, machine logs, and much more.

As mentioned above, we also have to focus on the influence of artificial intelligence on the modern data environment.

AI has always been a bit of an ethical quagmire. What exactly should AI be allowed to learn? Who gets to decide? Once itís been activated, is anybody allowed to deactivate it? While AI is of course a part of the tech space, the difficulty some firms are facing is just how human, or superhuman, they really want to make AI. Equip an AI with enough learning capability, and whoís to say it wonít eventually become the dominant form of life on earth. Some scientists think thatís a distinct possibility. 

To counteract the slight existential angst that AI inevitably causes, Google says itís developed a ëbig red buttoní that could shut down any AI if necessary. But with several scientists warning that some AI could already be semi-conscious, whoís really to say that the computers havenít already worked out a way around it. Makes you think, right? 

After I have scared you about AI and excessive ML, letís go back to the main topic of data management and understand how important the three Ds of data are. The three Ds concern the different challenges of data, where that data comes from, and how to manage information that is changing moment to moment.

If you require more information on data analytics and data management, let me know. We have experts that can provide the tools processes for successful data science training. Please contact me at hjschumacher59@gmail.com"
Data scientist: Robredo mananalo,2022,"MANILA, Philippines ó Idineklara ng data scientist na si Roger Do na mananalo si Vice President Leni Robredo kay Ferdinand ìBongbongî Marcos Jr. sa karera sa pagkapangulo.

ìI am projecting the winner in the 2022 Philippines presidential election to be Leni Robredo by at least 4 percent of the total votes,î wika ni Do sa isang blog na naka-post sa Auto Politic.

Ibinatay ni Do ang kanyang prediksyon sa social intelligence tracking na kanyang ginawa kasama ang ADDS Sentiment Analysis sa nakalipas na limang buwan.



Batay sa bagong datos mula sa ADDS Sentiment, sinabi ni Do na nakakuha si Robredo ng pinakamataas na engagement score na 7.46 milyon mula Abril 21 hanggang Mayo 4, o 22-porsiyentong pagtaas. Malayo naman si Marcos na may 4.69 million.

Matapos pumangalawa kay Marcos noong Pebrero, humataw si Robredo noong Marso kung saan nakakuha siya ng 8 milyong engagement kumpara 7.5 milyon ng katunggali.


Maliban sa prediksiyon ni Do, nakikita rin ng Google Trends ang panalo ni Robredo sa darating na halalan sa Mayo 9 matapos mapanatili ang lamang kay Bongbong.

Ilang araw bago ang halalan, angat pa rin si Robredo sa Google Trends na may 55 porsiyento kumpara sa 24 porsiyento ni Marcos."
More business opportunities for Philippines,2022,"Another opportunity has presented itself for the country.

The Philippines is now considered one of the prime emerging data center markets in Southeast Asia and currently ranks second in the region in terms of data center growth, according to a report from property consulting firm Colliers.

Colliers revealed that a number of local and international data center operators have already pledged their investments or expressed or interest in locating in the Philippines. These include Singapore-based SpaceDC, which is investing P36.4 billion for its 72-megawatt hyperscale data center in Cainta, and Converge ICT Solutions, which is constructing its P1-billion data center in Cebu to meet increasing digital services and transactions in the Visayas and Mindanao regions.



It said upcoming data centers in the country include those of Alibaba Cloud in Manila, YCO Cloud Centers in Batangas, Dito Telecommunity in Pampanga and ePLDT Vitro in Sta. Rosa. Meanwhile, US-based data center developers Endecgroup Inc. and Black and Veatch are said to be keen on expanding in the Philippines.

Arizton Advisory and Intelligence expects the Philippine data center market to attract $635 million worth of investments by 2027 and is expected to grow at a compounded annual growth rate of 13.4 percent compared to the $298 million in 2021.


Colliers director and head of capital markets and investment services Paul Chua said the country is one of the largest early adopters of digital technology, be it for social media, e-commerce, education or financial services and with the large tracts of data needed to effectively optimize the exchange of information, the Philippines is now being touted as the next viable destination for data center operations.

These facilities, which are used by enterprises to digitally house their critical business applications and information, should be sustained by the continued rise of e-commerce transactions, emergence of smart cities, proliferation of cloud computing technologies, need for 5G connectivity, increasing financial inclusion, and the governmentís push to digitize its processes, the report noted.

Colliers explained that business transformation in the last two years has pushed organizations to embrace digitization, boosting demand for data centers globally. Data from Arizton, an advisory and intelligence firm, showed that global data center investment market size reached $215.8 billion or P11.2 trillion in 2021, and is expected to reach $288.3 billion or P15.5 trillion in 2027.

The report revealed that most data centers in the Philippines are owned by telecommunication companies including ePLDT and Globe but recently, more local and international players have invested in the domestic data center market including Converge, Dito Telecommunity, Beeinfotech, Alibaba, YCO Cloud Centers and SpaceDC.

It noted that cloud computing and storage are among the primary global drivers of data center development and due to increasing remote work in the last two years, companies have started migrating their data and critical information to the cloud.

Data analytics company GlobalData projects that enterprise spending on cloud services of local enterprises will grow from P93.6 billion in 2020 to P135.2 billion in 2024. Colliers said this would likely sustain the demand for more data centers in the country.

Among the cloud computing companies planning to set up operations in the Philippines are Alibaba Cloud in Manila and YCO Cloud Centers in Batangas.

For its part, Colliers believes that the outsourcing sector should also increase the demand for cloud services as BPO companies continue to implement a hybrid work model and subscribe to the cloud computing model.

Among the top industries expected to drive demand for data centers in the country are telecom, cloud computing, e-commerce, banking and finance, hospitals, and government, which is pushing to automate processes.

Meanwhile, it said that the uptick in e-commerce utilization has also raised interest in data center operations. In fact, in 2021, data from Google, Temasek and Bain & Co. showed that the countryís e-commerce gross merchandise value grew by 24 percent year on year, this being the highest growth among major Southeast Asian economies during the period.

It is estimated that e-commerce transactions in the country will grow to P495.2 billion by 2025 from P270 billion in 2021 while another report projects e-commerce sales to reach P624 billion in 2025 from P187.2 billion in 2020. For its part, the Department of Trade and Industry expects the number of domestic online business to increase from 500,000 in 2020 to one million this year. The surge of data from online shopping and e-payment systems, Colliers said, is provoking the need for more data centers and the massive usage of social media should also support growth of data demand in the country.

New frontiers
A Filipino-owned holding company is changing the face of Guiguinto, Bulacan, and the lives of its residents as well.

Czark Mak Corp. started in the town with the development in 2017 of T12 Polo Industrial Estates, a 15-hectare property that houses warehousing facilities mostly for fast-moving consumer goods, with leasable space of 56,000 square meters.

Now, it is developing Acro City, a 10-hectare property within T12, which is now the site of a three-story boutique hotel called Acrocity Residences.

Just last week, Acrocity Residences was unveiled to the public, coinciding with the opening of CafÈ de Margaux Bistro on the ground floor attended by a number of VIPs including Sen. JV Ejercito, Guiguinto Mayor Agatha Cruz, Bulacan 5th district Rep. Ambrosio Cruz, Baliuag Mayor Ferdie Estrella and Malolos Vice Mayor Miguel Tengco-Bautista.

Acrocity is also the home of Mt. Fuji Japanese Restaurant and will soon have a Chinese restaurant within the year.

Czark Mak chairman and president Caesar Wongchuking revealed that the group is now looking into expanding their business by developing a mid-rise residential building within Acrocity.

He explained that Acrocity Residencesí development was brought about by the need for more world-class hotels in the area. It is the biggest hotel in Guiguinto, with 102 rooms.

The growth of Guiguinto town is inevitable, especially with huge infrastructure projects like Northrail, which will pass through the nearby town of Malolos, underway. San Miguel Corp.ís ongoing international airport development is also only 10 minutes away, not to mention SMCís MRT-7 project which will have its last station in San Jose, Del Monte, Bulacan.

Czark Mak also owns Polaris Industrial Estates in Baliuag, Bulacan, Sapporo Ice and Cold Storage and Acro Ice which has facilities in Cavite, Bacolod, Bulacan and Batangas, Nordic Atlantic Logistics Group, to name a few."
"Philippines records 1,326 new COVID cases, 56 deaths",2022,"MANILA ó The Philippines on Tuesday recorded 1,326 new COVID-19 cases, raising the number of active infections to 23,272 and the national total caseload so far to 3,894,840.

This is the lowest daily tally in 2 months, or since July 6, 2022, according to ABS-CBN Data Analytics head Edson Guido.

Of Tuesday's numbers, 498 were from Metro Manila.


Health department data also showed that 56 more patients succumbed to the respiratory disease, the highest since May 1. 

This raised the total fatalities to 62,118.

On the other hand, the number of people who have recovered from COVID-19 in the Philippines has reached 3,809,450.

The DOH also reported that the nation's positivity rate ó or the percentage of people who test positive for the coronavirus among all those who have gotten the test ó from September 4 to 5 is down at 10.9 percent.

At least 72.6 million people in the country have been fully vaccinated against the respiratory disease, of whom 18.1 million have received their booster shots.

A special vaccination campaign against COVID-19 will be done Sept. 26-30, with the government aiming to administer at least 5 million booster shots, the Department of Health earlier said."
What will the internet of the future look like?,2022,"Are we on the cusp of yet another internet revolution? We are, according to technology experts gathered in Berlin for a conference organized by digital learning platform ada.

New technology could overhaul the web as we know it in the coming decade, they said ó both when it comes to how it is built and how it looks.

On a technical level, tech idealists hope that blockchain technology will help build a new decentralized architecture underlying the internet. In this new ""web3"" era, the idea goes, users rather than a handful of tech giants would have control over their data, privacy, and what they create online.


""This reinvents how the internet is set up in the backend,"" Portugal-based author Shermin Voshmgir said. ""It is a complete paradigm shift.""

At the same time, companies around the world are working on technology to revolutionize the way we navigate the web.

Their vision: Rather than scrolling through websites or apps, people will soon stroll virtually through a three-dimensional version of the internet dubbed the ""metaverse"" ó a digital landscape of sorts where users can work, buy things or meet their friends, and where physical and digital realities converge.

""It will be a walk-in internet, so to speak,"" said Constanze Osei, who leads the society and innovation policy efforts for Germany, Austria, and Switzerland at US tech giant Meta, formerly known as Facebook.

But as companies like hers pour billions into developing that next generation of the internet, digital rights activists caution that the firms will eventually want to cash in on their investment ó and that this could thwart efforts to give users more power over their digital selves.

""The metaverse could become the most invasive surveillance system ever created,"" said Micaela Mantegna, an Argentinian lawyer and digital rights researcher.


The evolution of the internet 

To understand where the next generation of the internet could go wrong, it helps to look at how we got here.

As early as the 1960s, researchers began connecting computers around the world. But it wasn't until the 1990s that the invention of the world-wide-web and web browsers made the network available to anyone who was able to afford an internet connection.

Since then, the web has upended every aspect of society, from the way people do business to how they find information or interact with each other.

""Everything has changed because of the internet,"" said Miriam Meckel, CEO of ada and professor of corporate communications at the University of St. Gallen in Switzerland. ""And the internet itself has changed, as well.""

During the web's first phase, people browsed the web from their desktop computers and navigated it mainly via search engines. That changed in the 2000s with the emergence of social media and mobile internet, giving rise to the online world as we know it today.


At the core of this ""web2,"" there are online platforms such as Meta's Facebook and Instagram or, more recently, messaging services like Telegram.

Those platforms have helped dissidents in authoritarian regimes organize protests or give marginalized groups a voice. But revelations such as the 2018 Cambridge Analytica scandal have shown that they are also used to spread hate, amplify disinformation and sway democratic elections.

Meanwhile, a small number of Big Tech companies like Meta or Google's parent company Alphabet have come to dominate their respective segments of the internet economy.

More power to the users
 
To shift power back to individuals and communities, people like author Shermin Voshmgir have proposed rebuilding the web with decentralized public blockchains ó databases that are searchable by everyone and shared on computers around the world.

Such a ""web3"" would be collectively controlled by users rather than a few powerful gatekeepers, the idea goes ó making it easier, for example, for creatives to make money with the work they publish online.

Now, the multi-billion question is: Will this plan succeed?


Not everyone is convinced: J¸rgen Geuter, a Berlin-based internet theorist known online under the pseudonym ""tante,"" doubts that a decentralized architecture alone is enough to shift power back to users. He pointed to cryptocurrencies, a field where already today, a few companies are making millions by developing the software necessary to access the underlying decentralized network.

""Technology is never neutral,"" Geuter said.

Web3 versus the Metaverse? 

To prevent the metaverse from being controlled by just a few influential players, experts say users should be able to interact with each other no matter where in the metaverse they are or how they're using it. That would also be a change from todayís web, where apps are mostly ""walled gardens"" that do not allow users to send messages or money between different apps, for instance.

""There is an understanding that things need to change from web2,"" acknowledged Meta's Constanze Osei. She pointed to a new initiative announced in June, with which her company, along with other tech giants and standards-setting bodies, want to discuss interoperability standards. But some big players such as US tech giant Apple are notably absent from the effort.

At the same time, there is a certain irony in the fact that the world's largest tech giants say they want to invest in building a new internet architecture that could, eventually, curb their market power.


And some observers warn that once the companies will try to capitalize on that investment, some of the ideals of a decentralized web3 architecture could end up as collateral damage.

""The corporate version of the metaverse will be an evolution of capitalism,"" Argentinian lawyer Micaela Mantegna said.

What's more, she added, the immersive nature of the metaverse could exacerbate some of the problems that plague today's web2, from disinformation to online harassment. Some users have already reported being sexually harassed in early versions of the metaverse.

And Mantegna warned that, as technology evolves, the devices used to access the metaverse could at some point begin monitoring sensitive information like the brain activity of users.

To protect such data and prevent surveillance on an unprecedented scale, governments and regulators must come up with rules for the age of the metaverse, she said.

First efforts are underway: Earlier this week, the European Union announced a global regulation initiative for next year.

But Mantegna said that governments needed to hurry up to avoid the mistakes of today's internet ó a web that, as she put it, ""was designed with good intentions but bad implementation.""

""We don't want the metaverse to become the bad sequel of the internet,"" she said.

While you're here: Every Tuesday, DW editors round up what is happening in German politics and society. You can sign up here for the weekly email newsletter Berlin Briefing."
Start-up sends tiny robots on voyage into brains,2022,"LOS ANGELES - Sending miniature robots deep inside the human skull to treat brain disorders has long been the stuff of science fiction -- but it could soon become reality, according to a California start-up.

Bionaut Labs plans its first clinical trials on humans in just two years for its tiny injectable robots, which can be carefully guided through the brain using magnets.

Could injectable microrobots one day run in your veins?
""The idea of the micro robot came about way before I was born,"" said co-founder and CEO Michael Shpigelmacher.


""One of the most famous examples is a book by Isaac Asimov and a film called 'Fantastic Voyage,' where a crew of scientists goes inside a miniaturized spaceship into the brain, to treat a blood clot.""

Just as cellphones now contain extremely powerful components that are smaller than a grain of rice, the tech behind micro-robots ""that used to be science fiction in the 1950s and 60s"" is now ""science fact,"" said Shpigelmacher. 

""We want to take that old idea and turn it into reality,"" the 43-year-old scientist told AFP during a tour of his company's Los Angeles research and development center.





Watch more News on iWantTFC




Watch more News on iWantTFC
Working with Germany's prestigious Max Planck research institutes, Bionaut Labs settled on using magnetic energy to propel the robots -- rather than optical or ultrasonic techniques -- because it does not harm the human body.

Magnetic coils placed outside the patient's skull are linked up to a computer that can remotely and delicately maneuver the micro-robot into the affected part of the brain, before removing it via the same route.

The entire apparatus is easily transportable, unlike an MRI, and uses 10 to 100 times less electricity.


'YOU'RE STUCK'

In a simulation watched by AFP, the robot -- a metal cylinder just a few millimeters long, in the shape of a tiny bullet -- slowly follows a pre-programed trajectory through a gel-filled container, which emulates the density of the human brain.

Once it nears a pouch filled with blue liquid, the robot is swiftly propelled like a rocket and pierces the sack with its pointed end, allowing liquid to flow out.

Inventors hope to use the robot to pierce fluid-filled cysts within the brain when clinical trials begin in two years.

If successful, the process could be used to treat Dandy-Walker Syndrome, a rare brain malformation affecting children.

Sufferers of the congenital ailment can experience cysts the size of a golf ball, which swell and increase pressure on the brain, triggering a host of dangerous neurological conditions.


Bionaut Labs has already tested its robots on large animals such as sheep and pigs, and ""the data shows that the technology is safe for us"" human beings, said Shpigelmacher.

If approved, the robots could offer key advantages over existing treatments for brain disorders.

""Today, most brain surgery and brain intervention is limited to straight lines -- if you don't have a straight line to the target, you're stuck, you're not going to get there,"" said Shpigelmacher.

Micro-robotic tech ""allows you to reach targets you were not able to reach, and reaching them repeatedly in the safest trajectory possible,"" he added.

'HEATING UP'

The US Food and Drug Administration (FDA) last year granted Bionaut Labs approvals that pave the way for clinical trials to treat Dandy-Walker Syndrome, as well as malignant gliomas -- cancerous brain tumors often considered to be inoperable.


In the latter case, the micro-robots will be used to inject anti-cancer drugs directly into brain tumors in a ""surgical strike.""

Existing treatment methods involve bombarding the whole body with drugs, leading to potential severe side effects and loss of effectiveness, said Shpigelmacher.

The micro-robots can also take measurements and collect tissue samples while inside the brain.

Bionaut Labs -- which has around 30 employees -- has held discussions with partners for the use of its tech to treat other conditions affecting the brain including Parkinson's, epilepsy or strokes.

""To the best of my knowledge, we are the first commercial effort"" to design a product of this type with ""a clear path to the clinic trials,"" said Shpigelmacher.

""But I don't think that we will be the only one... This area is heating up.""
"
"Help wanted at BIR: Data scientists, cybersecurity experts",2022,"MANILA, PhilippinesóAs it pushes forward with a digital shift to shore up collections, the Bureau of Internal Revenue (BIR) is looking for data scientists and cybersecurity experts to join the countryís biggest tax agency, Commissioner Lilia Guillermo said on Friday (Aug. 19).

But while the BIR was already providing digital infrastructure to move to electronic services, like e-invoicing, many in the private sector remained resistant to digitalization, as shown by the low number of participants in the ongoing electronic invoicing pilot program, Guillermo said at the first SGV tax symposium.

ADVERTISEMENT

Guillermo told the forum that ìrightsizingî for the BIR meant beefing up its personnel in the forefront of the agencyís digital transformation program.

Before the COVID-19 pandemic, the BIR in 2019 unveiled its 2030 digital transformation roadmap aimed at making all transactions with clients instantaneous and seamless. Under the roadmap, the BIR plans to provide taxpayers 24-hours-a-day, seven-days-a-week access to services via online systems and mobile applications starting this year.

In an interview, Guillermo said the BIR was looking for fresh graduates who may be interested to become data scientists and cybersecurity experts. The BIR chief said the bureau needed six to eight cybersecurity experts and the same number of data scientists.

However, Guillermo conceded that it may be hard to attract such specialized talents as compensation at the BIR was not at par with those being offered by the private sector. While her BIR predecessors had pushed for exemption from the salary standardization law (SSL), Guillermo said it may be difficult to legislate it at this time.


Japan prepares to bid farewell to Abe in state funeral
1.8K


Ad: (32)
Skip Ad
In the meantime, Guillermo said the BIR recently hired six new statisticians, who can be trained to become data scientists.

Also, Guillermo said the bureau was looking at hiring consultants who would enjoy bigger pay, but likely with no security of tenure as contractual workers.

Digitalization had been identified by Guillermo and Finance Secretary Benjamin Diokno as one way for the BIR to catch up with its revenue target of P2.44 trillion for 2022. In the first half of the year, the BIR collected P1.14 trillion in taxes, which was 6.3-percent short of the P1.21-trillion target for the six-month period. The BIR chief said July collections likely hit the P201.5-billion goal for the month.

To run after social media influencers earning huge money and ìbig-timeî online sellers, the BIR planned to tap data analytics to process big data from social media sites, Guillermo said.

She said the BIR temporarily suspended audits on social media influencers and online sellers, but will resume it within the year. She added that the BIR will seek the help of global e-commerce platformsólike Lazada and Shopee óto provide data on online sales while addressing concerns on data privacy.



Read more: https://business.inquirer.net/358144/help-wanted-at-bir-data-scientists-cybersecurity-experts#ixzz7g5RFsMjk
Follow us: @inquirerdotnet on Twitter | inquirerdotnet on Facebook"
Leveraging nontraditional data for recovery,2022,"Data is now recognized as ìthe new oilî for the digital economy. While development actors have relied on traditional data sources, such as public surveys and government administrative data, there is great potential to harness the value of unconventional or nontraditional data from the private sector, which can help fuel a more nimble, agile, and inclusive governance.

Private companies routinely collect, analyze, and use large volumes of data to derive actionable insights and inform business strategies. The ability and pace at which this data is harnessed with the aid of data science, analytics, and artificial intelligence tools has allowed businesses to successfully navigate through several forms of crisis, including the COVID-19 pandemic. In this dynamic and uncertain environment, the importance of high-frequency, timely, and granular data to inform decision-making has become invaluable.

ADVERTISEMENT

Can we harness the power of data for the public good? Can we bridge the data gap to give governments access to data, insights, and tools that can inform their response and recovery strategies?

There is increasing recognition that traditional and nontraditional data should be seen as complementary. Nontraditional data can bring significant benefits in bridging existing data gaps but must be calibrated against benchmarks based on established traditional data. These traditional datasets are widely seen as reliable being subject to established stringent international and national standards. However, they are often limited in frequency and granularity, especially in low- and middle-income countries.

Meanwhile, nontraditional data such as market research routinely collected monthly from nationwide household surveys may only be specific to certain products and brands, but can provide more frequent and granular information, with disaggregation by geographical area, socioeconomic group of households, gender, and other attributes. Data collected from mobile devices, internet platforms, and satellite images are available in real time and offer high granularity in location.

UNDP, with support from The Rockefeller Foundation and the government of Japan, setup the Pintig Lab: a multidisciplinary network of data scientists, economists, epidemiologists, mathematicians, and political scientists, tasked with supporting data-driven crisis response and development strategies. In 2021, the Lab conducted a study on how data on household spending on consumer-packaged goods can been used to assess the socioeconomic impact of COVID-19 and identify heterogeneities in the pace of recovery across Philippine households. The National Economic and Development Authority is incorporating this data for GDP forecasting, as additional input to their predictive models for consumption. Further, this data can be combined with credit card or mobile wallet transactions, and machine learning techniques for higher-frequency GDP nowcasting, to allow for nimble and responsive economic policies that can absorb and anticipate the shocks of crisis.


Nontraditional data has the potential to provide insights on the status of vulnerable groups, including the informal sector, which are not fully captured by official statistics. As such, the Department of Information and Communications Technology and UNDP are exploring the use of satellite imagery to identify ìlast mileî communities and understand their level of connectivity in terms of Wi-Fi, electricity, roads, education, health care, and markets. UNDP has utilized chatbots on social media platforms to rapidly collate information from disadvantaged sectors and small enterprises, to understand how the pandemic has impacted them, and the extent to which the social amelioration programs have worked.

These are powerful examples of how nontraditional data can and has shed light on disadvantaged groups previously invisible, allowing for more inclusive programming so that no one gets left behind.

We have only begun to open the door to a parallel world of nontraditional data that has existed alongside us for decades now. Data is inherently political and maximizing its positive impacts for society will require a concerted effort from all stakeholders to shape the ways in which data is accessed, analyzed, and used beyond the confines of their ìfor-profitî origins. Doing so could unlock the potential for more rapid and inclusive evidence-based interventions for those who need it the most.

óóóóóó

Dr. Selva Ramachandran is the UNDP Philippines resident representative.



Read more: https://opinion.inquirer.net/150039/leveraging-nontraditional-data-for-recovery#ixzz7g5ReKGIG
Follow us: @inquirerdotnet on Twitter | inquirerdotnet on Facebook"
STI expands offerings with data science courses,2021,"MANILA, Philippines ó STI Education Services Group is expanding its course offerings with a new bachelor of science degree in retail technology and consumer science and a two-year associate degree in retail technology.

Under the programs, students are expected to apply data science and business analytics to drive understanding of the changing market and consumer behavior, as well as to employ disruptive technologies. They will likewise be trained to utilize omnichannel retail marketing strategies to satisfy the changing consumer demands and varying purchasing habits.

Upon graduation, students will be ready for the future of work with specialized skills in the areas of retail marketing, consumer psychology, information technology and data science. Graduates may become business analytics professionals, big data analysts, consumer analysts, consumer scientists, data scientists, digital marketing e-commerce specialists, and e-business data managers, among others.



Meanwhile, iAcademy now offers programs leading to bachelor of science degrees in computer science, major in data science and major in cloud computing, respectively.

Under the data science program, students would be able to develop, analyze, and apply algorithmic principles in computer science. This would be done through a thorough training in computer science, statistics, data mining, and machine learning, enabling organizations to make data-driven decisions.


The cloud computing program, meanwhile, exposes students to such technologies that would enable them to design, implement, manage, and maintain local and wide area networks. Through the programís partnership with Amazon Web Services, students are given the opportunity to gain globally-recognized cloud computing certification.

Upon graduation, students may pursue the following jobs and careers: programmer, enterprise or network architect, data analyst, data scientist, program manager, and MIS director, among others."
Insular Foundation supports data science training for women,2021,"MANILA, Philippines ó The Insular Foundation, in partnership with the For the Women Foundation, recently supported 18 scholarsí venture into data science. With the foundationsí shared advocacy to empower women through education, the training program presents career opportunities in data science and analytics which are considered as the careers of the future.

The 18 scholars, composed of 15 women and three men, completed 10 Saturdays of intensive data science online training from the comforts of their homes in various cities in Metro Manila, Cavite, Nueva Ecija and Benguet. The scholars whose average age was 24, came from diverse backgrounds ñ new college graduates, government employees, public school teacher and InLife employees.

During their online graduation event, the scholars presented their final projects to Insular Foundationís Board of Trustees, project stakeholders from InLife and InLife Health Care (IHC), and representatives from the For the Women Foundation. The capstone projects applied what they learned on the use of large amounts of complex data or big data in the core businesses of InLife and IHC.



ìThis is a relevant program because data science is a future skill. Data science can really empower and uplift the lives of women.

It is so inspiring to see our scholars with the knowledge and passion to deliver the capstone projects which not only deliver good business value, but most of all deliver positive social impact,î IHC president and CEO Noemi Azura said.


Insular Foundation executive director Ana Soriano congratulated the scholars for diving into data science and analytics which are far from their academic and work experience. ìFor The Womenís mission is to change womenís lives through intensive technical skills training to enable upward career mobility. Thank you for giving us a chance to sponsor the training of the interested few. Hopefully we can make a big difference in their lives as they begin their journey in data science,î she said."
